Index,Group,Function,Function Type,Description,Payer-facing,Provider-facing,PHI,Client-specific,Credentials,Current FTE,Planned FTE
1,Payment Integrity - DC,Product management,Product Management,Product management,Yes,Yes,Yes,No,None,2,1
2,Coding Advisor Operations,Program mailings – baseline and profile QA,Operations,QA prior to delivery to fulfillment outsource vendor,Yes,Yes,No,No,None,1,1
3,Coding Advisor Operations,Return mail processing,Operations Support,"Processing of return mail, research of correct addresses, telephonic confirmation, re-generation of outbound correspondence, fulfillment of corrected outbound correspondence",Yes,Yes,No,No,None,2,2
4,Coding Advisor Operations,Call Center – telephonic outreach (inbound and outbound),Operations,"Triage incoming provider calls, monitor and respond to customer service email inbox, initiate telephonic outreach, schedule escalated calls",Yes,Yes,Yes,No,None,6,5
5,Coding Advisor Analytics,Program analytics,Analytics and Reporting,"Management of program data tables, import/export of data, baseline and measurement analytics, internal/external reporting, industry trending, AI development",Yes,Yes,Yes,No,None,4,1
6,Coding Advisor Analytics,Research and development,Content Development,"Analytic R&D efforts relative to technology enhancements, process improvements, module development, and revenue optimization",Yes,Yes,Yes,No,None,1,1
7,Coding Advisor Clinical Coding Compliance,Telephonic Outreach/Education,Operations,Engage providers via telephone/webex/onsite to deliver program insights and coding related education,Yes,Yes,No,No,"Certified Coding Credentials required (AAPC, CPC, etc.)",4,1
8,Coding Advisor Clinical Coding Compliance,Audits and R&D,Operations,"Conduct Probe Audit activity, deliver findings to providers, assist with new module development",Yes,Yes,Yes,No,"Certified Coding Credentials required (AAPC, CPC, etc.)",5,2
9,Carve-out Admin,Administration,Operations Support,Contract compliance admin??,No,Yes,Yes,No,(Varies) RN; RHIT,2,0
10,Carve-out Audit,Audit,Operations,Contract compliance audit??,No,Yes,Yes,No,(Varies) RN; RHIT,2,1
11,Specialty Audit Operations,Post Payment Contract Compliance Audit,Operations,"Identification and validation of high cost drug, durable medical equipment, home infusion therapy and renal dialysis claims overpayments",Yes,Yes,Yes,No,"Doctor of Pharmacy, Registered Pharmacist (pharmacist auditors), None (non-pharmacist auditors)",10,1
12,Specialty Audit Operations,Prepayment Ancillary HIT Network Pricing and Audit,Operations,Audit and price out of network prepayment home infusion therapy claims,Yes,Yes,Yes,Yes,None,0.5,0
13,Specialty Audit Operations,Data Analysis and Strategic Reporting,Analytics and Reporting,"Select, scrub and stage audit files for auditors; prepare strategic reporting for management; automate claims selection process; load finalized audits to internal system",No,No,Yes,No,None,1,0
14,Specialty Audit Recovery,Refund Recovery,Operations,Send overpayment notification and/or refund recovery letters to providers; ensure all PHI is sent to the correct provider; process outlier claims through offset/check application process to ensure fee is collected,Yes,Yes,Yes,No,None,2,1
15,Coordinaction of Benefits Operations,Coordination of Benefits Production,Operations,Team is responsible for all production aspects of COB. This includes verifying and completing leads. Performing QA of production files. Posting files to client SFTP. Tracking and trend analysis. Revenue reporting. Investigating ad hoc client research requests.,Yes,No,Yes,No,None,9,0
16,Member Management Operations,Member Management Production,Operations,"Handles production for all member management accounts. This includes account management duties, maintaining and revising transformer scripts, client implementation, and assisting other TPL products navigate the RA platform.",Yes,No,Yes,No,None,2,0
17,Third-party Liability,Eligibility Data Acquisition,Content Development,Research and initiate contact with payers to establish data sharing agreements. Negotiate terms of agreements with trading partners. Obtain expansion to existing agreements. Interface with CHC corporate counsel.,Yes,No,No,No,JD,2,0
18,Trading Partner ETL / Business Intelligence,Trade Partner ETL / Business Intelligence,Operations,"Responsible for ETL of ~300 trade partner files and maintenance. Supports research and ad hoc reporting for COB, Recovery, and Member Management. Peforms production for all 8 eCOB accounts since these were not integrated into the existing TPL application.",No,No,Yes,No,None,2,0
19,Coordination of Benefits Business Analysis,Coordination of Benefits Business Analysis,Analytics and Reporting,Maintains and refines data match edits/procedures. Responsible for ETL mapping of new trade partner files. Conducts proof of concepts for sales opportunities. Handle production for the HealthNet HEDIS account. Responsible for running COB X270/271 transactions (approx. 2.5M per month) through the RA platform.,No,No,Yes,No,None,3,0
20,Third-party Liability,Business Systems,Client Support,"Handles all non-UI development of TPL application. This includes ETL of client data, new client implementation, data match script updates, reporting, and ad hoc client analysis. Open position for TPL project manager.",Yes,No,Yes,No,None,3,0
